"product","record_date","open_value"
36,"2020-07-01",10.07
36,"2020-07-02",10.08
36,"2020-07-06",10.08
36,"2020-07-07",10.1
36,"2020-07-08",10.1
36,"2020-07-09",10.12
36,"2020-07-10",10.11
36,"2020-07-13",10.11
36,"2020-07-14",10.12
36,"2020-07-15",10.12
36,"2020-07-16",10.12
36,"2020-07-17",10.12
36,"2020-07-20",10.13
36,"2020-07-21",10.15
36,"2020-07-22",10.16
36,"2020-07-23",10.17
36,"2020-07-24",10.16
36,"2020-07-27",10.15
36,"2020-07-28",10.16
36,"2020-07-29",10.17
36,"2020-07-30",10.18
36,"2020-07-31",10.19
36,"2020-08-03",10.18
36,"2020-08-04",10.2
36,"2020-08-05",10.19
36,"2020-08-06",10.2
36,"2020-08-07",10.19
36,"2020-08-10",10.18
36,"2020-08-11",10.14
36,"2020-08-12",10.13
36,"2020-08-13",10.11
36,"2020-08-14",10.11
36,"2020-08-17",10.12
36,"2020-08-18",10.13
36,"2020-08-19",10.12
36,"2020-08-20",10.13
36,"2020-08-21",10.14
36,"2020-08-24",10.14
36,"2020-08-25",10.12
36,"2020-08-26",10.12
36,"2020-08-27",10.09
36,"2020-08-28",10.1
36,"2020-08-31",10.12
36,"2020-09-01",10.15
36,"2020-09-02",10.16
36,"2020-09-03",10.18
36,"2020-09-04",10.12
36,"2020-09-08",10.14
36,"2020-09-09",10.12
36,"2020-09-10",10.13
36,"2020-09-11",10.14
36,"2020-09-14",10.14
36,"2020-09-15",10.14
36,"2020-09-16",10.14
36,"2020-09-17",10.14
36,"2020-09-18",10.14
36,"2020-09-21",10.14
36,"2020-09-22",10.15
36,"2020-09-23",10.14
36,"2020-09-24",10.13
36,"2020-09-25",10.12
36,"2020-09-28",10.12
36,"2020-09-29",10.13
36,"2020-09-30",10.12
36,"2020-10-01",10.12
36,"2020-10-02",10.11
36,"2020-10-05",10.08
36,"2020-10-06",10.09
36,"2020-10-07",10.07
36,"2020-10-08",10.08
36,"2020-10-09",10.08
36,"2020-10-12",10.08
36,"2020-10-13",10.11
36,"2020-10-14",10.11
36,"2020-10-15",10.1
36,"2020-10-16",10.09
36,"2020-10-19",10.09
36,"2020-10-20",10.07
36,"2020-10-21",10.06
36,"2020-10-22",10.04
36,"2020-10-23",10.05
36,"2020-10-26",10.07
36,"2020-10-27",10.08
36,"2020-10-28",10.07
36,"2020-10-29",10.05
36,"2020-10-30",10.04
36,"2020-11-02",10.05
36,"2020-11-03",10.04
36,"2020-11-04",10.09
36,"2020-11-05",10.1
36,"2020-11-06",10.08
36,"2020-11-09",10.06
36,"2020-11-10",10.05
36,"2020-11-11",10.05
36,"2020-11-12",10.08
36,"2020-11-13",10.08
36,"2020-11-16",10.07
36,"2020-11-17",10.09
36,"2020-11-18",10.09
36,"2020-11-19",10.1
36,"2020-11-20",10.12
36,"2020-11-23",10.11
36,"2020-11-24",10.1
36,"2020-11-25",10.09
36,"2020-11-27",10.11
37,"2020-01-02",13.81
37,"2020-01-03",13.76
37,"2020-01-06",13.76
37,"2020-01-07",13.74
37,"2020-01-08",13.74
37,"2020-01-09",13.79
37,"2020-01-10",13.74
37,"2020-01-13",13.77
37,"2020-01-14",13.79
37,"2020-01-15",13.78
37,"2020-01-16",13.84
37,"2020-01-17",13.86
37,"2020-01-21",13.8
37,"2020-01-22",13.78
37,"2020-01-23",13.8
37,"2020-01-24",13.7
37,"2020-01-27",13.53
37,"2020-01-28",13.6
37,"2020-01-29",13.59
37,"2020-01-30",13.61
37,"2020-01-31",13.45
37,"2020-02-03",13.49
37,"2020-02-04",13.59
37,"2020-02-05",13.76
37,"2020-02-06",13.75
37,"2020-02-07",13.7
37,"2020-02-10",13.73
37,"2020-02-11",13.76
37,"2020-02-12",13.84
37,"2020-02-13",13.8
37,"2020-02-14",13.76
37,"2020-02-18",13.75
37,"2020-02-19",13.78
37,"2020-02-20",13.79
37,"2020-02-21",13.73
37,"2020-02-24",13.43
37,"2020-02-25",13.16
37,"2020-02-26",13.06
37,"2020-02-27",12.74
37,"2020-02-28",12.72
37,"2020-03-02",12.97
37,"2020-03-03",12.75
37,"2020-03-04",13.01
37,"2020-03-05",12.71
37,"2020-03-06",12.58
37,"2020-03-09",11.86
37,"2020-03-10",12.13
37,"2020-03-11",11.7
37,"2020-03-12",10.94
37,"2020-03-13",11.44
37,"2020-03-16",10.58
37,"2020-03-17",10.78
37,"2020-03-18",10.19
37,"2020-03-19",10.28
37,"2020-03-20",10.1
37,"2020-03-23",9.95
37,"2020-03-24",10.54
37,"2020-03-25",10.76
37,"2020-03-26",11.2
37,"2020-03-27",10.98
37,"2020-03-30",11.14
37,"2020-03-31",11.04
37,"2020-04-01",10.67
37,"2020-04-02",10.76
37,"2020-04-03",10.65
37,"2020-04-06",11.06
37,"2020-04-07",11.11
37,"2020-04-08",11.4
37,"2020-04-09",11.6
37,"2020-04-13",11.49
37,"2020-04-14",11.59
37,"2020-04-15",11.38
37,"2020-04-16",11.35
37,"2020-04-17",11.61
37,"2020-04-20",11.46
37,"2020-04-21",11.28
37,"2020-04-22",11.37
37,"2020-04-23",11.41
37,"2020-04-24",11.51
37,"2020-04-27",11.65
37,"2020-04-28",11.74
37,"2020-04-29",12.0
37,"2020-04-30",11.82
37,"2020-05-01",11.56
37,"2020-05-04",11.57
37,"2020-05-05",11.6
37,"2020-05-06",11.48
37,"2020-05-07",11.61
37,"2020-05-08",11.79
37,"2020-05-11",11.68
37,"2020-05-12",11.53
37,"2020-05-13",11.33
37,"2020-05-14",11.45
37,"2020-05-15",11.44
37,"2020-05-18",11.8
37,"2020-05-19",11.71
37,"2020-05-20",11.87
37,"2020-05-21",11.84
37,"2020-05-22",11.82
37,"2020-05-26",12.09
37,"2020-05-27",12.31
37,"2020-05-28",12.2
37,"2020-05-29",12.16
37,"2020-06-01",12.23
37,"2020-06-02",12.37
37,"2020-06-03",12.57
37,"2020-06-04",12.64
37,"2020-06-05",12.93
37,"2020-06-08",13.16
37,"2020-06-09",12.96
37,"2020-06-10",12.73
37,"2020-06-11",12.16
37,"2020-06-12",12.33
37,"2020-06-15",12.39
37,"2020-06-16",12.53
37,"2020-06-17",12.43
37,"2020-06-18",12.46
37,"2020-06-19",12.37
37,"2020-06-22",12.38
37,"2020-06-23",12.41
37,"2020-06-24",12.14
37,"2020-06-25",12.25
37,"2020-06-26",12.06
37,"2020-06-29",12.19
37,"2020-06-30",12.29
37,"2020-07-01",12.19
37,"2020-07-02",12.25
37,"2020-07-06",12.35
37,"2020-07-07",12.2
37,"2020-07-08",12.24
37,"2020-07-09",12.08
37,"2020-07-10",12.25
37,"2020-07-13",12.26
37,"2020-07-14",12.38
37,"2020-07-15",12.55
37,"2020-07-16",12.56
37,"2020-07-17",12.54
37,"2020-07-20",12.48
37,"2020-07-21",12.62
37,"2020-07-22",12.66
37,"2020-07-23",12.64
37,"2020-07-24",12.59
37,"2020-07-27",12.59
37,"2020-07-28",12.55
37,"2020-07-29",12.68
37,"2020-07-30",12.6
37,"2020-07-31",12.55
37,"2020-08-03",12.58
37,"2020-08-04",12.61
37,"2020-08-05",12.68
37,"2020-08-06",12.67
37,"2020-08-07",12.77
37,"2020-08-10",12.89
37,"2020-08-11",12.91
37,"2020-08-12",12.94
37,"2020-08-13",12.86
37,"2020-08-14",12.89
37,"2020-08-17",12.83
37,"2020-08-18",12.78
37,"2020-08-19",12.76
37,"2020-08-20",12.7
37,"2020-08-21",12.68
37,"2020-08-24",12.85
37,"2020-08-25",12.82
37,"2020-08-26",12.8
37,"2020-08-27",12.83
37,"2020-08-28",12.9
37,"2020-08-31",12.82
37,"2020-09-01",12.86
37,"2020-09-02",13.01
37,"2020-09-03",12.86
37,"2020-09-04",12.85
37,"2020-09-08",12.67
37,"2020-09-09",12.76
37,"2020-09-10",12.63
37,"2020-09-11",12.68
37,"2020-09-14",12.79
37,"2020-09-15",12.75
37,"2020-09-16",12.84
37,"2020-09-17",12.81
37,"2020-09-18",12.72
37,"2020-09-21",12.48
37,"2020-09-22",12.48
37,"2020-09-23",12.31
37,"2020-09-24",12.33
37,"2020-09-25",12.39
37,"2020-09-28",12.54
37,"2020-09-29",12.47
37,"2020-09-30",12.52
37,"2020-10-01",12.41
37,"2020-10-02",12.46
37,"2020-10-05",12.6
37,"2020-10-06",12.53
37,"2020-10-07",12.67
37,"2020-10-08",12.81
37,"2020-10-09",12.82
37,"2020-10-12",12.89
37,"2020-10-13",12.81
37,"2020-10-14",12.78
37,"2020-10-15",12.82
37,"2020-10-16",12.82
37,"2020-10-19",12.72
37,"2020-10-20",12.79
37,"2020-10-21",12.78
37,"2020-10-22",12.89
37,"2020-10-23",12.94
37,"2020-10-26",12.73
37,"2020-10-27",12.61
37,"2020-10-28",12.37
37,"2020-10-29",12.44
37,"2020-10-30",12.43
37,"2020-11-02",12.6
37,"2020-11-03",12.76
37,"2020-11-04",12.79
37,"2020-11-05",13.0
37,"2020-11-06",12.94
37,"2020-11-09",13.39
37,"2020-11-10",13.49
37,"2020-11-11",13.47
37,"2020-11-12",13.34
37,"2020-11-13",13.53
37,"2020-11-16",13.75
37,"2020-11-17",13.74
37,"2020-11-18",13.65
37,"2020-11-19",13.71
37,"2020-11-20",13.67
37,"2020-11-23",13.86
37,"2020-11-24",14.13
37,"2020-11-25",14.04
37,"2020-11-27",14.03
39,"2020-01-02",11.91
39,"2020-01-03",11.9
39,"2020-01-06",11.91
39,"2020-01-07",11.88
39,"2020-01-08",11.88
39,"2020-01-09",11.91
39,"2020-01-10",11.9
39,"2020-01-13",11.92
39,"2020-01-14",11.94
39,"2020-01-15",11.95
39,"2020-01-16",11.98
39,"2020-01-17",12.0
39,"2020-01-21",11.98
39,"2020-01-22",11.99
39,"2020-01-23",11.99
39,"2020-01-24",11.97
39,"2020-01-27",11.88
39,"2020-01-28",11.93
39,"2020-01-29",11.94
39,"2020-01-30",11.94
39,"2020-01-31",11.87
39,"2020-02-03",11.88
39,"2020-02-04",11.94
39,"2020-02-05",11.99
39,"2020-02-06",12.01
39,"2020-02-07",11.99
39,"2020-02-10",12.02
39,"2020-02-11",12.04
39,"2020-02-12",12.06
39,"2020-02-13",12.05
39,"2020-02-14",12.05
39,"2020-02-18",12.04
39,"2020-02-19",12.06
39,"2020-02-20",12.04
39,"2020-02-21",12.02
39,"2020-02-24",11.87
39,"2020-02-25",11.74
39,"2020-02-26",11.73
39,"2020-02-27",11.55
39,"2020-02-28",11.52
39,"2020-03-02",11.7
39,"2020-03-03",11.66
39,"2020-03-04",11.85
39,"2020-03-05",11.73
39,"2020-03-06",11.65
39,"2020-03-09",11.22
39,"2020-03-10",11.34
39,"2020-03-11",11.09
39,"2020-03-12",10.6
39,"2020-03-13",10.9
39,"2020-03-16",10.39
